"Word","Iconicity","ListIdentifier","KupermanAOA","SUBTLEX_Rawfreq","SUBTLEX_dom_POS","SUBTLEX_Percentage_dom_POS","OrthoLength","ParentalInputRawFreq","ChildesAge12Freq","ChildesAge15Freq","ChildesAge18Freq","ChildesAge21Freq","ChildesAge24Freq","ChildesAge27Freq","ChildesAge30Freq","ChildesAge33Freq","ChildesAge36Freq","ChildesAge39Freq","ChildesAge42Freq","ChildesAge45Freq","ChildesAge48Freq","ChildesAge51Freq","ChildesAge54Freq","ChildesAge57Freq","ChildesAge60Freq","ChildesAge63Freq","ChildesAge66Freq","ChildesAge69Freq","Conc","NMorph"
"asleep",0.454545455,"list1",4.47,2541,"Adjective","1.00",6,186,0,1,6,16,38,69,52,26,20,8,7,8,9,7,10,6,5,0,3,4,3.71,2
"awake",2.1,"list1",4.67,1362,"Adjective","0.81",5,55,0,0,4,6,35,14,9,4,3,4,8,0,1,1,5,2,4,1,0,0,3.32,2
"bad",0.5625,"list1",2.79,27804,"Adjective","0.99",3,967,0,11,13,15,40,86,141,101,70,92,100,108,83,95,171,55,26,40,43,19,1.68,1
"better",-0.1,"list1",5.02,40494,"Adverb","0.65",6,2166,0,0,5,53,123,186,256,161,121,131,73,89,76,67,243,70,60,20,46,22,1.91,1
"big",1.090909091,"list1",2.89,34824,"Adjective","1.00",3,4563,6,116,186,393,711,1084,1304,883,631,512,419,460,431,286,600,219,179,93,113,80,3.66,1
"black",1.19047619,"list1",3.56,8565,"Adjective","0.94",5,504,7,7,43,90,95,194,141,159,127,53,78,54,55,47,119,44,23,7,14,4,3.76,1
"blue",-0.066666667,"list1",3.53,5222,"Adjective","0.94",4,1025,7,88,108,258,557,621,469,285,324,106,131,114,108,76,189,49,68,35,36,13,3.76,1
"broken",1.5,"list1",NA,3634,"Verb","0.62",6,492,0,17,42,153,220,228,198,162,70,70,38,21,33,19,54,39,12,8,13,3,4.11,2
"brown",0.571428571,"list1",4.2,3066,"Name","0.62",5,450,0,0,5,18,107,119,88,81,69,33,25,36,26,37,54,22,53,16,16,9,4.48,1
"cold",1.5,"list1",3.95,6638,"Adjective","0.81",4,854,0,11,14,92,127,161,184,111,84,62,53,46,34,25,150,32,9,11,7,7,3.85,1
"cute",2.083333333,"list1",4.26,4475,"Adjective","1.00",4,190,0,2,5,3,9,6,7,5,15,11,17,3,5,6,17,7,0,6,5,6,2.76,1
"dark",1.181818182,"list1",3.74,4519,"Adjective","0.59",4,224,1,0,7,14,69,66,72,82,31,31,17,21,16,12,29,11,16,3,10,11,4.29,1
"dirty",1,"list1",4.55,3389,"Adjective","0.89",5,581,10,34,60,64,87,117,147,66,62,45,29,13,22,10,53,11,14,2,13,4,4.23,2
"empty",0.8,"list1",4.79,2409,"Adjective","0.89",5,178,0,4,20,20,59,35,23,22,7,9,5,11,11,3,6,2,2,1,0,0,3.43,1
"fast",2.166666667,"list1",3.74,7010,"Adverb","0.78",4,414,0,0,4,17,31,71,68,36,46,52,28,34,26,35,151,24,24,14,12,9,3.32,1
"fine",-0.461538462,"list1",7.44,30502,"Adjective","0.99",4,490,0,0,2,3,13,45,29,36,21,19,18,29,12,12,88,16,7,5,6,9,2.61,1
"first",1.3,"list1",4.39,42869,"Number","0.97",5,1995,1,1,11,23,30,89,128,113,115,129,106,144,104,66,278,100,73,45,55,48,2.76,1
"full",1.785714286,"list1",4.24,8512,"Adjective","0.97",4,307,0,0,5,5,21,35,40,29,18,13,17,28,32,14,36,22,8,15,9,9,3.59,1
"gentle",2.642857143,"list1",4.89,844,"Adjective","1.00",6,79,0,0,3,2,5,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,2.53,1
"good",0.928571429,"list1",3.55,133117,"Adjective","0.99",4,9256,3,7,80,182,285,354,396,289,255,234,218,229,218,177,643,179,114,98,100,67,1.64,1
"green",1.1,"list1",3.79,3696,"Adjective","0.71",5,1061,4,24,80,163,519,533,460,211,320,86,94,101,67,86,246,53,66,28,32,17,4.07,1
"happy",2.076923077,"list1",2.72,16993,"Adjective","1.00",5,622,2,2,44,56,90,161,164,156,124,35,32,27,38,29,66,10,6,6,3,6,2.56,1
"hard",3.692307692,"list1",4.39,15700,"Adjective","0.59",4,1024,1,0,1,44,105,96,82,84,42,41,45,57,58,64,143,38,18,22,12,11,3.76,1
"heavy",1.1,"list1",4.05,2412,"Adjective","1.00",5,260,0,16,14,22,48,73,74,41,30,12,17,12,12,14,24,9,3,12,6,7,3.37,2
"high",2.636363636,"list1",4.58,9945,"Adjective","0.93",4,333,0,1,21,33,45,69,54,38,44,25,22,23,26,13,66,13,11,10,5,5,3.46,1
"hot",2,"list1",3.37,9682,"Adjective","0.99",3,790,16,12,54,152,233,235,219,143,93,83,53,85,69,25,152,39,24,25,36,16,4.31,1
"hungry",1.285714286,"list1",3.63,3931,"Adjective","1.00",6,546,1,3,9,68,39,88,72,71,42,18,50,44,46,43,52,37,19,39,63,80,2.9,1
"hurt",0.9,"list1",4,12564,"Verb","0.85",4,989,0,0,22,38,106,141,209,147,106,75,73,60,51,19,186,16,24,8,20,11,3.61,1
"last",0.615384615,"list1",4.35,36878,"Number","0.92",4,1578,0,0,4,7,39,54,46,66,33,32,46,55,59,29,126,49,32,19,30,15,3.04,1
"little",1.15,"list1",3.95,73766,"Adjective","0.63",6,6767,5,52,70,231,569,1034,1041,944,773,482,421,338,321,239,720,275,196,198,123,111,3.67,1
"long",0.090909091,"list1",4.24,34433,"Adverb","0.48",4,1390,0,1,2,19,28,55,90,117,151,95,97,67,71,55,190,71,47,33,28,39,3.18,1
"loud",1.2,"list1",4.54,2031,"Adverb","0.78",4,186,0,3,2,6,12,17,7,17,15,8,7,6,6,4,24,10,2,3,1,2,3.73,1
"mad",0.733333333,"list1",3.55,5784,"Adjective","1.00",3,307,0,1,0,0,4,20,13,21,23,17,30,19,23,15,53,9,3,4,1,3,2.76,1
"naughty",0.4,"list1",4.9,523,"Adjective","1.00",7,414,0,0,22,38,110,145,127,80,36,18,7,3,1,3,9,7,10,2,0,1,2.04,1
"new",-0.285714286,"list1",4.72,36913,"Adjective","0.77",3,1304,0,9,23,71,144,132,186,181,119,87,91,78,85,53,189,53,27,23,26,10,2.81,1
